observation.state,action,observation.plug_to_port,observation.scenario_params,observation.stiffness,observation.damping,insertion_success,phase,timestamp,frame_index,episode_index,index,task_index,source_file,source_episodes_file,episode_task,episode_dataset_from_index,episode_dataset_to_index,episode_video_left_chunk_index,episode_video_left_file_index,episode_video_left_from_timestamp,episode_video_left_to_timestamp,episode_video_center_chunk_index,episode_video_center_file_index,episode_video_center_from_timestamp,episode_video_center_to_timestamp,episode_video_right_chunk_index,episode_video_right_file_index,episode_video_right_from_timestamp,episode_video_right_to_timestamp,plug_to_port.translation.x,plug_to_port.translation.y,plug_to_port.translation.z,plug_to_port.rotation.x,plug_to_port.rotation.y,plug_to_port.rotation.z,plug_to_port.rotation.w,trial_type,rail_idx,board_x,board_y,board_yaw,gripper_offset_x,gripper_offset_y,gripper_offset_z,nic_translation,nic_yaw,sc_translation,task_type,checkpoint,x_error_mm,y_error_mm,z_error_mm,xy_error_mm,inside_ok
"[   -0.46073     0.23054     0.24419     0.97747    -0.10316   -0.018697     0.18319   0.0011948   0.0074393   -0.001035 -7.9896e-05  -0.0021124  0.00074231   0.0023392   0.0041455   0.0027374  0.00014918  0.00069649  -0.0002888    -0.40899     -1.6851     -1.6018     -1.5033      1.9333      1.3578   0.0035405
      0.2432     -7.4765      19.417      0.0114    -0.13893   -0.035118  0.00060784    0.013532    0.043379]",[    -0.4559     0.22887       0.247     0.97746    -0.10324   -0.019069     0.18315],[ -0.0042415  -0.0023776  -0.0071788 -0.00018409  0.00048711    -0.00019           1],[          0           0        0.15        -0.2      2.9692  0.00060784    0.013532    0.043379   -0.005911    0.018339    0.036183],[        100         100         100          50          50          50],[         40          40          40          20          20          20],0,approach,3.8,76,0,76,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,0,177,0,0,0.0,8.85,0,0,0.0,8.85,0,0,0.0,8.85,-0.004241498652845621,-0.002377558732405305,-0.007178767584264278,-0.00018408913456369191,0.00048711447743698955,-0.00019000227621290833,0.9999998211860657,0.0,0.0,0.15000000596046448,-0.20000000298023224,2.969177007675171,0.0006078417063690722,0.013532268814742565,0.04337867721915245,-0.005911028943955898,0.01833869144320488,0.03618311882019043,nic,last_approach,-4.241498652845621,-2.377558732405305,-7.178767584264278,4.862416718888658,True
"[   -0.46044     0.23084     0.24415     0.97743    -0.10312   -0.018522     0.18345    0.003266  7.5513e-05  -0.0002465  -0.0043213  -0.0011786  0.00076261    0.004546  -0.0019657   0.0028471  0.00070314  0.00096365 -0.00043004    -0.40992     -1.6854     -1.6014     -1.5043      1.9336      1.3567   0.0035405
     0.16151     -7.8013      19.205   -0.010095    -0.20831    0.082938  0.00060784    0.013532    0.043379]",[   -0.45539     0.22842     0.24676     0.97746    -0.10324   -0.019072     0.18315],[ -0.0039386  -0.0024103  -0.0071563 -0.00034618  0.00059251 -0.00023123           1],[          0           0        0.15        -0.2      2.9692  0.00060784    0.013532    0.043379   -0.005911    0.018339    0.036183],[         20          20         250          10          10          40],[         10          10          60           5           5          15],0,insert,3.85,77,0,77,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,0,177,0,0,0.0,8.85,0,0,0.0,8.85,0,0,0.0,8.85,-0.003938616253435612,-0.002410292159765959,-0.007156298495829105,-0.0003461819142103195,0.0005925133009441197,-0.0002312254800926894,0.9999997615814209,0.0,0.0,0.15000000596046448,-0.20000000298023224,2.969177007675171,0.0006078417063690722,0.013532268814742565,0.04337867721915245,-0.005911028943955898,0.01833869144320488,0.03618311882019043,nic,first_insert,-3.9386162534356117,-2.410292159765959,-7.156298495829105,4.617597458338744,True
"[   -0.45501     0.52135     0.24312    -0.51508     0.83709      0.1573   -0.096032    0.006629   0.0036216 -0.00064213  -0.0072417  -0.0036788   0.0013844   0.0069753   0.0014062   0.0033057  -0.0011042   8.582e-06  0.00015342    -0.69424     -1.8177     -1.5576    -0.97472      1.6511      2.9296   0.0035405
    -0.51223     -7.5464      19.636     0.10183    0.090717   -0.048694   0.0012434    0.017229    0.042374]",[   -0.44795     0.52364     0.24642     0.51509    -0.83714    -0.15684    0.096331],[  0.0057011   -0.001473  -0.0065913 -0.00010912 -0.00043571  5.3411e-05           1],[          0           1        0.15        -0.2      1.1759   0.0012434    0.017229    0.042374  -0.0079199    -0.01612   -0.039493],[        100         100         100          50          50          50],[         40          40          40          20          20          20],0,approach,1.6,32,1,209,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,177,310,0,0,8.85,15.5,0,0,8.85,15.5,0,0,8.85,15.5,0.005701079964637756,-0.0014730378752574325,-0.006591276731342077,-0.00010912458674283698,-0.0004357077123131603,5.341081123333424e-05,0.9999998807907104,0.0,1.0,0.15000000596046448,-0.20000000298023224,1.1758626699447632,0.0012434000382199883,0.017228536307811737,0.04237440973520279,-0.007919921539723873,-0.016119545325636864,-0.039492856711149216,nic,last_approach,5.701079964637756,-1.4730378752574325,-6.591276731342077,5.888306492119527,False
"[   -0.45463      0.5215     0.24306    -0.51511     0.83711     0.15712   -0.096034   0.0083307   0.0021731  -0.0016374  -0.0066893  -0.0036876   0.0012567   0.0065925   0.0012524   0.0033585 -0.00079101  0.00020526  0.00010079    -0.69493     -1.8177     -1.5576    -0.97516      1.6514       2.929   0.0035405
    -0.12174     -7.5769      19.521    0.065688    0.064507    0.018259   0.0012434    0.017229    0.042374]",[   -0.44794     0.52451     0.24618     0.51509    -0.83714    -0.15684    0.096331],[  0.0051833  -0.0021188  -0.0064833  5.9911e-05 -0.00034203  3.6991e-05           1],[          0           1        0.15        -0.2      1.1759   0.0012434    0.017229    0.042374  -0.0079199    -0.01612   -0.039493],[         20          20         250          10          10          40],[         10          10          60           5           5          15],0,insert,1.65,33,1,210,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,177,310,0,0,8.85,15.5,0,0,8.85,15.5,0,0,8.85,15.5,0.005183335859328508,-0.0021188254468142986,-0.0064833215437829494,5.9910678828600794e-05,-0.00034203153336420655,3.6990844819229096e-05,0.9999999403953552,0.0,1.0,0.15000000596046448,-0.20000000298023224,1.1758626699447632,0.0012434000382199883,0.017228536307811737,0.04237440973520279,-0.007919921539723873,-0.016119545325636864,-0.039492856711149216,nic,first_insert,5.183335859328508,-2.1188254468142986,-6.4833215437829494,5.599677839364388,False
"[   -0.48981     0.38169     0.24415     0.93707    -0.29665    -0.05475     0.17578    0.011883  -0.0033362 -0.00094313  -0.0022911  -0.0019839  0.00099694   0.0071689  0.00020452    0.003838   0.0011187   0.0013933 -0.00073681    -0.61986     -1.8876     -1.3708     -1.4583      1.9411      1.5633   0.0035405
    -0.88838     -7.6298      19.194     -0.0344    0.060857   -0.018696  -0.0013703    0.014768    0.041695]",[   -0.48249     0.38195     0.24798     0.93702    -0.29684   -0.055634     0.17545],[-0.00079042  0.00092632  -0.0060595 -0.00013075  0.00096905 -0.00038246           1],[          0           2        0.15        -0.2      2.4212  -0.0013703    0.014768    0.041695   -0.021448     0.16334   -0.010791],[        100         100         100          50          50          50],[         40          40          40          20          20          20],0,approach,2.25,45,2,355,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,310,456,0,0,15.5,22.8,0,0,15.5,22.8,0,0,15.5,22.8,-0.000790419289842248,0.0009263173560611904,-0.006059502717107534,-0.00013075223250780255,0.0009690519073046744,-0.00038246475742198527,0.999999463558197,0.0,2.0,0.15000000596046448,-0.20000000298023224,2.4211926460266113,-0.0013702696887776256,0.014767544344067574,0.04169485345482826,-0.021448388695716858,0.1633387804031372,-0.010791176930069923,nic,last_approach,-0.790419289842248,0.9263173560611904,-6.059502717107534,1.2177136354229257,True
"[   -0.48848     0.38123     0.24408     0.93706    -0.29664   -0.054712     0.17585    0.013164  -0.0051927 -0.00032057   0.0015236   0.0027824  -0.0013205    0.005993  0.00072648   0.0039015   0.0012632    0.001423 -0.00076586    -0.62054     -1.8847     -1.3748     -1.4576      1.9412      1.5625   0.0035405
    -0.20764     -7.5938      19.252   -0.021835    0.023463    0.033963  -0.0013703    0.014768    0.041695]",[   -0.48249     0.38208     0.24773     0.93702    -0.29684   -0.055633     0.17545],[ 0.00052742  0.00073468  -0.0060397 -0.00018767  0.00091143  -0.0003572           1],[          0           2        0.15        -0.2      2.4212  -0.0013703    0.014768    0.041695   -0.021448     0.16334   -0.010791],[         20          20         250          10          10          40],[         10          10          60           5           5          15],0,insert,2.3,46,2,356,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,310,456,0,0,15.5,22.8,0,0,15.5,22.8,0,0,15.5,22.8,0.0005274206632748246,0.0007346830680035055,-0.006039747502654791,-0.00018766561697702855,0.0009114268468692899,-0.00035719582228921354,0.9999995231628418,0.0,2.0,0.15000000596046448,-0.20000000298023224,2.4211926460266113,-0.0013702696887776256,0.014767544344067574,0.04169485345482826,-0.021448388695716858,0.1633387804031372,-0.010791176930069923,nic,first_insert,0.5274206632748246,0.7346830680035055,-6.039747502654791,0.9043958018811783,True
"[   -0.30489     0.47533     0.24317   -0.068448     0.98047     0.18396    -0.01262   0.0053128     0.01081  -0.0026582  -0.0077716   -0.004754  -0.0018632   0.0099895   -0.001823   0.0049864 -0.00072161  0.00023614 -0.00024424    -0.61664     -1.5067     -1.8747     -1.0706      1.3036      3.9212   0.0035405
     -1.0051     -8.1939      18.337    0.077609    0.039229  -0.0069514  -0.0014923    0.016937    0.040532]",[   -0.29499     0.47363     0.24816   -0.068301     0.98054     0.18361   -0.012734],[-0.00037408 -0.00071643  -0.0048628 -0.00018415 -0.00025908  -8.561e-05           1],[          0           3        0.15        -0.2     0.22095  -0.0014923    0.016937    0.040532    0.011927   -0.025341   -0.057415],[        100         100         100          50          50          50],[         40          40          40          20          20          20],0,approach,2.2,44,3,500,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,456,601,0,0,22.8,30.05,0,0,22.8,30.05,0,0,22.8,30.05,-0.0003740756365004927,-0.0007164294947870076,-0.004862813279032707,-0.00018414609075989574,-0.0002590763324405998,-8.561029972042888e-05,0.9999999403953552,0.0,3.0,0.15000000596046448,-0.20000000298023224,0.22094543278217316,-0.0014923368580639362,0.01693720370531082,0.04053228348493576,0.011926914565265179,-0.02534077875316143,-0.05741451308131218,nic,last_approach,-0.3740756365004927,-0.7164294947870076,-4.862813279032707,0.8082102466710105,True
"[   -0.30418     0.47619     0.24287   -0.068411     0.98053     0.18363    -0.01239    0.011418   0.0070263  -0.0062238  -0.0057719    -0.01374  -0.0044945   0.0091855   -0.002557   0.0052828 -0.00010058  0.00071013 -9.0615e-05    -0.61923      -1.508     -1.8741     -1.0701      1.3045      3.9188   0.0035405
      2.7428     -8.3766      17.316   -0.078488       1.059    -0.10435  -0.0014923    0.016937    0.040532]",[   -0.29525     0.47364     0.24792   -0.068303     0.98054     0.18362   -0.012739],[ -0.0012892 -0.00021652  -0.0045189  8.9629e-05  -0.0004334 -1.4682e-05           1],[          0           3        0.15        -0.2     0.22095  -0.0014923    0.016937    0.040532    0.011927   -0.025341   -0.057415],[         20          20         250          10          10          40],[         10          10          60           5           5          15],0,insert,2.25,45,3,501,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,456,601,0,0,22.8,30.05,0,0,22.8,30.05,0,0,22.8,30.05,-0.0012891694204881787,-0.00021651801944244653,-0.0045188735239207745,8.962881111074239e-05,-0.00043340169941075146,-1.4682244000141509e-05,0.9999998807907104,0.0,3.0,0.15000000596046448,-0.20000000298023224,0.22094543278217316,-0.0014923368580639362,0.01693720370531082,0.04053228348493576,0.011926914565265179,-0.02534077875316143,-0.05741451308131218,nic,first_insert,-1.2891694204881787,-0.21651801944244653,-4.5188735239207745,1.3072252474096062,True
"[      -0.36     0.45576     0.24133    -0.57452     0.79762     0.14915    -0.10721    0.011407   0.0085892 -0.00078836  -0.0059462    0.022619   0.0060253    0.012402  0.00076309   0.0053626  5.2045e-06  0.00079123 -2.7096e-05    -0.74796     -1.5804     -1.8275     -0.9653      1.7201      2.7416   0.0035405
     0.58627     -8.5126      18.601  -0.0082162    0.080426    0.017397  -0.0016514    0.016536    0.042332]",[   -0.34701     0.45727     0.24668     0.57445    -0.79758    -0.14938     0.10753],[  0.0021955  0.00068061  -0.0043046  0.00033217 -3.5631e-05 -4.7636e-05           1],[          0           4        0.15        -0.2      1.2688  -0.0016514    0.016536    0.042332     0.01864    0.036045   -0.052953],[        100         100         100          50          50          50],[         40          40          40          20          20          20],0,approach,2.25,45,4,646,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,601,747,0,0,30.05,37.35,0,0,30.05,37.35,0,0,30.05,37.35,0.0021954586263746023,0.0006806126912124455,-0.004304610192775726,0.00033217325108125806,-3.56307573383674e-05,-4.7636363888159394e-05,0.9999999403953552,0.0,4.0,0.15000000596046448,-0.20000000298023224,1.26882803440094,-0.00165143224876374,0.016536207869648933,0.04233177378773689,0.01864033378660679,0.03604511544108391,-0.05295298993587494,nic,last_approach,2.1954586263746023,0.6806126912124455,-4.304610192775726,2.2985369728507967,True
"[   -0.35836     0.45668     0.24101    -0.57453     0.79759     0.14913    -0.10731    0.017357   0.0090766  -0.0027376 -0.00027241   0.0014301  0.00035176    0.011355  0.00058805   0.0056705  0.00014126  0.00065495 -0.00011281    -0.75186     -1.5804     -1.8282    -0.96512      1.7216      2.7379   0.0035405
     0.82821     -8.4281      18.726    0.088026    0.015068    0.025993  -0.0016514    0.016536    0.042332]",[   -0.34698     0.45749     0.24643     0.57445    -0.79758    -0.14938     0.10753],[  0.0012499 -0.00035142   -0.004118  0.00030595 -8.5459e-06  -6.272e-05           1],[          0           4        0.15        -0.2      1.2688  -0.0016514    0.016536    0.042332     0.01864    0.036045   -0.052953],[         20          20         250          10          10          40],[         10          10          60           5           5          15],0,insert,2.3,46,4,647,0,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/data/chunk-000/file-000.parquet,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/meta/episodes/chunk-000/file-000.parquet,sfp_insertion,601,747,0,0,30.05,37.35,0,0,30.05,37.35,0,0,30.05,37.35,0.001249877386726439,-0.000351422670064494,-0.004117962904274464,0.00030594744021072984,-8.54591326060472e-06,-6.271962047321722e-05,0.9999999403953552,0.0,4.0,0.15000000596046448,-0.20000000298023224,1.26882803440094,-0.00165143224876374,0.016536207869648933,0.04233177378773689,0.01864033378660679,0.03604511544108391,-0.05295298993587494,nic,first_insert,1.249877386726439,-0.351422670064494,-4.117962904274464,1.2983417789185445,True
