sample_id,episode_index,frame_index,video_frame_index,checkpoint,task_type,camera,video_exists,frame_read,detected,detected_ok_conf,video_path,class_id,class_name,confidence,center_x,center_y,width_px,height_px,area_ratio,image_w,image_h
0,0,76,76,last_approach,nic,left,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,0,sfp_port,0.854498565196991,155.42237091064453,145.89107513427734,16.489151000976562,12.270126342773438,0.0027441944182271527,288.0,256.0
0,0,76,76,last_approach,nic,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,0,sfp_port,0.7351531982421875,147.45818328857422,149.67825317382812,15.567214965820312,10.9166259765625,0.0023049786143474194,288.0,256.0
0,0,76,76,last_approach,nic,right,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,0,sfp_port,0.41426223516464233,124.94680404663086,156.77069854736328,14.508369445800781,10.262374877929688,0.0020194542930814427,288.0,256.0
1,0,77,77,first_insert,nic,left,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,0,sfp_port,0.8526292443275452,155.08904266357422,145.9378433227539,16.386184692382812,12.215530395507812,0.0027149242781061072,288.0,256.0
1,0,77,77,first_insert,nic,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,0,sfp_port,0.7905347943305969,122.20687103271484,151.30300903320312,15.089309692382812,10.541656494140625,0.0021574750367676643,288.0,256.0
1,0,77,77,first_insert,nic,right,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,0,sfp_port,0.6333146095275879,124.8653564453125,157.03179168701172,14.555572509765625,10.354476928710938,0.002044207624464889,288.0,256.0
2,1,32,209,last_approach,nic,left,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,0,sfp_port,0.894780158996582,145.59783935546875,137.63468170166016,15.39544677734375,11.326126098632812,0.0023650549525958318,288.0,256.0
2,1,32,209,last_approach,nic,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,0,sfp_port,0.8730297088623047,111.5533447265625,154.32859802246094,15.291183471679688,10.68414306640625,0.002215890731690706,288.0,256.0
2,1,32,209,last_approach,nic,right,True,True,True,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,0,sfp_port,0.2914961576461792,119.93488311767578,169.85006713867188,14.677215576171875,10.472381591796875,0.0020847629424199316,288.0,256.0
3,1,33,210,first_insert,nic,left,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,0,sfp_port,0.8907151818275452,145.5381088256836,138.05254364013672,15.370223999023438,11.264114379882812,0.0023482525115209934,288.0,256.0
