epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.539,0.26417,0.30062,0.80214,0.96632,0.81442,0.90734,0.86576,0.29254,0.41309,0.87597,0.000553857,0.000553857,0.000553857
2,137.248,0.30447,0.33243,0.80772,0.9793,0.80224,0.89715,0.84459,0.3573,0.46255,0.89922,0.00108755,0.00108755,0.00108755
3,205.248,0.32683,0.34941,0.8108,0.96365,0.80605,0.8818,0.8317,0.36878,0.46416,0.90117,0.00159925,0.00159925,0.00159925
4,273.127,0.35062,0.36352,0.82098,0.98187,0.79752,0.89666,0.84036,0.37156,0.4576,0.8984,0.00156798,0.00156798,0.00156798
5,341.208,0.33244,0.34511,0.81465,0.97477,0.80648,0.88731,0.83722,0.37279,0.47069,0.89574,0.00153497,0.00153497,0.00153497
6,409.351,0.33268,0.34879,0.81563,0.96493,0.80664,0.89118,0.83771,0.39143,0.48252,0.89446,0.00150197,0.00150197,0.00150197
7,477.638,0.32845,0.35265,0.81491,0.97723,0.80207,0.89382,0.84052,0.35627,0.45482,0.89292,0.00146896,0.00146896,0.00146896
8,545.421,0.33139,0.35261,0.81394,0.97407,0.80505,0.89149,0.8449,0.34623,0.45621,0.89047,0.00143595,0.00143595,0.00143595
9,613.227,0.32184,0.33392,0.80925,0.97678,0.80361,0.88739,0.84424,0.33916,0.46768,0.88676,0.00140295,0.00140295,0.00140295
10,681.176,0.31891,0.34341,0.8095,0.9678,0.80667,0.89021,0.84703,0.33503,0.45745,0.8819,0.00136994,0.00136994,0.00136994
11,749.098,0.31665,0.34108,0.80697,0.97484,0.80394,0.89468,0.85149,0.32229,0.44727,0.88591,0.00133693,0.00133693,0.00133693
12,816.773,0.31535,0.34078,0.80897,0.97574,0.80296,0.89908,0.85253,0.33421,0.45749,0.88332,0.00130393,0.00130393,0.00130393
13,884.441,0.30649,0.33249,0.80409,0.97814,0.80477,0.90105,0.85742,0.32131,0.44327,0.8779,0.00127092,0.00127092,0.00127092
14,952.152,0.31029,0.33788,0.80766,0.97829,0.80373,0.90274,0.85944,0.30967,0.42419,0.87397,0.00123791,0.00123791,0.00123791
15,1018.83,0.29724,0.33167,0.80267,0.9711,0.80632,0.90184,0.85958,0.30652,0.42692,0.87223,0.00120491,0.00120491,0.00120491
16,1086.5,0.30285,0.33336,0.80658,0.95741,0.81307,0.90628,0.86531,0.30184,0.42667,0.8762,0.0011719,0.0011719,0.0011719
