epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.7458,1.38548,1.62253,1.21401,0.96596,0.79594,0.79139,0.6414,0.92738,0.77213,1.11507,0.00996743,0.00332248,0.00996743,0.00332248,0.00996743,0.00332248,0.00996743,0.00332248
2,168.363,0.79462,0.60657,0.92305,0.95569,0.79775,0.79096,0.65055,0.99759,0.74923,1.13374,0.0198356,0.00661188,0.0198356,0.00661188,0.0198356,0.00661188,0.0198356,0.00661188
3,265.477,0.80209,0.61649,0.91715,0.96985,0.79639,0.80603,0.67415,0.82031,0.71249,1.05292,0.0295719,0.00985729,0.0295719,0.00985729,0.0295719,0.00985729,0.0295719,0.00985729
4,394.984,0.76156,0.60032,0.91255,0.97194,0.79025,0.81141,0.68905,0.77898,0.69022,1.06927,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,528.877,0.66823,0.52911,0.89351,0.96236,0.79905,0.81322,0.70315,0.68923,0.63844,1.03518,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,608.495,0.61756,0.50537,0.88313,0.96231,0.80264,0.82879,0.73562,0.67015,0.61394,1.01972,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,686.313,0.57969,0.48278,0.87508,0.97235,0.80098,0.82077,0.7361,0.60867,0.61569,1.01093,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,765.965,0.55417,0.48156,0.86567,0.95833,0.80003,0.8346,0.75048,0.56917,0.57952,0.98874,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,851.819,0.52866,0.44644,0.8587,0.96347,0.80003,0.81697,0.73886,0.59264,0.5898,1.00572,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,949.763,0.5186,0.45062,0.85748,0.96839,0.80002,0.8403,0.77331,0.53395,0.57764,0.97119,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1027.43,0.50033,0.43647,0.85049,0.96978,0.80166,0.85161,0.76944,0.51725,0.54753,0.97183,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
