epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.70211,2.44363,4.21433,1.20074,0.00453,0.78246,0.13273,0.07223,1.32324,3.02906,0.86417,0.000547247,0.000547247,0.000547247
2,15.9284,1.42477,1.95532,0.8894,0.96096,0.92667,0.95647,0.64848,0.97344,1.26656,0.83244,0.00108108,0.00108108,0.00108108
3,23.5869,1.24426,1.43435,0.86329,0.98029,0.94,0.96014,0.64925,1.07448,0.78372,0.83844,0.0015929,0.0015929,0.0015929
4,31.0763,1.22155,1.19679,0.86443,0.97289,0.92918,0.95461,0.62813,1.02755,0.75046,0.83592,0.00156798,0.00156798,0.00156798
5,38.5176,1.13586,0.95847,0.85267,0.983,0.96667,0.96635,0.71242,0.88024,0.56939,0.82228,0.00153497,0.00153497,0.00153497
6,46.0183,1.09735,0.84589,0.85156,0.95741,0.96667,0.96922,0.72637,0.80921,0.5319,0.81794,0.00150197,0.00150197,0.00150197
7,53.5472,1.06791,0.78051,0.83808,0.98412,0.96667,0.9721,0.73116,0.75969,0.52842,0.80618,0.00146896,0.00146896,0.00146896
8,61.0604,0.92469,0.66494,0.81124,0.98269,0.96667,0.98049,0.71997,0.84885,0.4869,0.81254,0.00143595,0.00143595,0.00143595
9,68.5532,0.92953,0.62016,0.82174,0.98253,0.96667,0.98002,0.7309,0.8446,0.4989,0.81346,0.00140295,0.00140295,0.00140295
10,76.0308,0.89892,0.59038,0.81559,0.9883,0.96667,0.9831,0.76878,0.6848,0.44518,0.80343,0.00136994,0.00136994,0.00136994
11,83.5487,0.86447,0.55569,0.81342,0.98208,0.98667,0.98458,0.72285,0.67207,0.44515,0.80275,0.00133693,0.00133693,0.00133693
12,91.0771,0.79715,0.53197,0.81877,0.98977,0.95333,0.9845,0.81303,0.60107,0.42508,0.79636,0.00130393,0.00130393,0.00130393
13,98.5654,0.77301,0.51063,0.79995,0.98099,0.98667,0.98441,0.79624,0.61791,0.40967,0.79713,0.00127092,0.00127092,0.00127092
14,106.044,0.82713,0.51067,0.82119,0.98405,0.97241,0.98766,0.80075,0.64352,0.39851,0.79959,0.00123791,0.00123791,0.00123791
15,113.531,0.76874,0.48639,0.80768,0.98852,0.98667,0.98969,0.76129,0.67963,0.39974,0.8018,0.00120491,0.00120491,0.00120491
16,121.023,0.77631,0.49864,0.80674,0.97632,0.98667,0.98596,0.81643,0.54688,0.39585,0.79346,0.0011719,0.0011719,0.0011719
17,128.535,0.72866,0.46905,0.80745,0.98518,0.98667,0.98654,0.82807,0.51671,0.36606,0.79471,0.00113889,0.00113889,0.00113889
18,136.023,0.72049,0.45413,0.79025,0.98047,0.98667,0.98643,0.81547,0.58595,0.4004,0.79686,0.00110589,0.00110589,0.00110589
19,143.557,0.74338,0.46882,0.80953,0.98456,0.98667,0.98741,0.81873,0.534,0.37258,0.79142,0.00107288,0.00107288,0.00107288
20,151.084,0.72662,0.46193,0.80895,0.98658,0.98536,0.98626,0.83031,0.51161,0.35679,0.79131,0.00103987,0.00103987,0.00103987
21,158.731,0.71552,0.45893,0.79904,0.98434,0.96667,0.98414,0.82157,0.55745,0.3808,0.79099,0.00100687,0.00100687,0.00100687
22,166.226,0.72073,0.44801,0.80399,0.98223,0.98667,0.98777,0.85417,0.44796,0.34986,0.78828,0.000973861,0.000973861,0.000973861
23,173.723,0.66142,0.4252,0.79845,0.96438,0.96667,0.98062,0.84042,0.46665,0.32494,0.79084,0.000940855,0.000940855,0.000940855
24,181.198,0.64072,0.41048,0.79282,0.98149,0.98667,0.98796,0.83767,0.49156,0.34087,0.78894,0.000907848,0.000907848,0.000907848
25,188.696,0.67097,0.42486,0.79562,0.98371,0.98667,0.98591,0.82826,0.49544,0.34352,0.79192,0.000874842,0.000874842,0.000874842
26,196.259,0.67116,0.41879,0.79651,0.98431,0.98667,0.98878,0.84455,0.52344,0.3692,0.79059,0.000841835,0.000841835,0.000841835
27,203.829,0.63308,0.4089,0.79406,0.98424,0.98667,0.98938,0.83787,0.53651,0.36078,0.78769,0.000808828,0.000808828,0.000808828
28,211.36,0.6012,0.39058,0.79193,0.98474,0.98667,0.98919,0.85315,0.43581,0.30677,0.79163,0.000775822,0.000775822,0.000775822
29,218.956,0.6101,0.39219,0.79545,0.98484,0.98667,0.99015,0.85819,0.44681,0.3187,0.78814,0.000742815,0.000742815,0.000742815
30,226.612,0.62701,0.38687,0.80042,0.98488,0.98667,0.99102,0.86605,0.42206,0.29286,0.78797,0.000709809,0.000709809,0.000709809
31,234.154,0.59914,0.38372,0.7978,0.98445,0.98667,0.99094,0.87087,0.42069,0.305,0.78604,0.000676802,0.000676802,0.000676802
32,241.652,0.59909,0.37714,0.79215,0.98347,0.98667,0.9904,0.86522,0.43932,0.29974,0.78777,0.000643795,0.000643795,0.000643795
33,249.2,0.5738,0.37447,0.79616,0.98482,0.98667,0.99204,0.86845,0.4099,0.30496,0.78669,0.000610789,0.000610789,0.000610789
34,256.761,0.59498,0.37745,0.79167,0.98507,0.98667,0.99083,0.86166,0.44438,0.31295,0.78963,0.000577782,0.000577782,0.000577782
35,264.268,0.54981,0.34982,0.77673,0.98507,0.98667,0.99008,0.88438,0.43091,0.29792,0.78591,0.000544776,0.000544776,0.000544776
36,271.737,0.52456,0.35327,0.77963,0.98518,0.98667,0.99246,0.89167,0.3889,0.28809,0.78715,0.000511769,0.000511769,0.000511769
37,279.21,0.5131,0.34054,0.78078,0.98454,0.98667,0.9927,0.88036,0.39089,0.27426,0.7862,0.000478762,0.000478762,0.000478762
38,286.663,0.53108,0.34704,0.79156,0.98389,0.98667,0.99174,0.88611,0.3894,0.2746,0.78625,0.000445756,0.000445756,0.000445756
39,294.231,0.53132,0.34704,0.79011,0.98459,0.98667,0.99206,0.88259,0.39155,0.27777,0.78748,0.000412749,0.000412749,0.000412749
40,301.762,0.53678,0.35329,0.79334,0.98521,0.98667,0.99204,0.89731,0.37185,0.28024,0.78394,0.000379743,0.000379743,0.000379743
41,310.051,0.46766,0.32372,0.79051,0.98493,0.98667,0.99207,0.9009,0.38606,0.27679,0.78541,0.000346736,0.000346736,0.000346736
42,317.569,0.43874,0.31299,0.79484,0.98507,0.98667,0.99267,0.89878,0.39492,0.2727,0.78573,0.000313729,0.000313729,0.000313729
43,324.653,0.44652,0.30978,0.79135,0.98417,0.98667,0.99194,0.90267,0.36202,0.25694,0.78534,0.000280723,0.000280723,0.000280723
44,331.727,0.43102,0.30195,0.78916,0.98476,0.98667,0.99288,0.89745,0.35434,0.25541,0.7833,0.000247716,0.000247716,0.000247716
45,338.941,0.42079,0.29126,0.78904,0.98413,0.98667,0.99237,0.89754,0.37824,0.26561,0.78602,0.00021471,0.00021471,0.00021471
46,346.505,0.40023,0.28742,0.7844,0.9846,0.98667,0.99234,0.90759,0.33676,0.24635,0.78367,0.000181703,0.000181703,0.000181703
47,353.956,0.3932,0.27448,0.78413,0.98408,0.98667,0.99251,0.9079,0.33796,0.24044,0.78522,0.000148696,0.000148696,0.000148696
48,361.578,0.37646,0.2746,0.78764,0.98413,0.98667,0.99218,0.89916,0.34268,0.25234,0.78295,0.00011569,0.00011569,0.00011569
49,369.054,0.37838,0.27286,0.78202,0.98429,0.98667,0.99205,0.91094,0.33328,0.24475,0.78564,8.26832e-05,8.26832e-05,8.26832e-05
50,376.928,0.37527,0.26634,0.78136,0.98415,0.98667,0.99198,0.91116,0.32932,0.24174,0.78402,4.96766e-05,4.96766e-05,4.96766e-05
